symbol,Name,yfinance Sector,yfinance Industry
A,Agilent Technologies,Healthcare,Diagnostics & Research
AAPL,Apple Inc.,Technology,Consumer Electronics
ABBV,AbbVie,Healthcare,Drug Manufacturers - General
ABT,Abbott Laboratories,Healthcare,Medical Devices
ACGL,Arch Capital Group,Financial Services,Insurance - Diversified
ACN,Accenture,Technology,Information Technology Services
ADBE,Adobe Inc.,Technology,Software - Application
ADI,Analog Devices,Technology,Semiconductors
ADM,Archer Daniels Midland,Consumer Defensive,Farm Products
ADP,Automatic Data Processing,Technology,Software - Application
ADSK,Autodesk,Technology,Software - Application
AEE,Ameren,Utilities,Utilities - Regulated Electric
AEP,American Electric Power,Utilities,Utilities - Regulated Electric
AES,AES Corporation,Utilities,Utilities - Diversified
AFL,Aflac,Financial Services,Insurance - Life
AIG,American International Group,Financial Services,Insurance - Diversified
AIZ,Assurant,Financial Services,Insurance - Property & Casualty
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers
AKAM,Akamai Technologies,Technology,Software - Infrastructure
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals
ALGN,Align Technology,Healthcare,Medical Instruments & Supplies
ALL,Allstate,Financial Services,Insurance - Property & Casualty
ALLE,Allegion,Industrials,Security & Protection Services
AMAT,Applied Materials,Technology,Semiconductor Equipment & Materials
AMD,Advanced Micro Devices,Technology,Semiconductors
AME,Ametek,Industrials,Specialty Industrial Machinery
AMGN,Amgen,Healthcare,Drug Manufacturers - General
AMP,Ameriprise Financial,Financial Services,Asset Management
AMT,American Tower,Real Estate,REIT - Specialty
AMZN,Amazon,Consumer Cyclical,Internet Retail
ANET,Arista Networks,Technology,Computer Hardware
ANSS,Ansys,Technology,Software - Application
AON,Aon plc,Financial Services,Insurance Brokers
AOS,A. O. Smith,Industrials,Specialty Industrial Machinery
APA,APA Corporation,Energy,Oil & Gas E&P
APD,Air Products,Basic Materials,Specialty Chemicals
APH,Amphenol,Technology,Electronic Components
APO,Apollo Global Management,Financial Services,Asset Management
APTV,Aptiv,Consumer Cyclical,Auto Parts
ARE,Alexandria Real Estate Equities,Real Estate,REIT - Office
ATO,Atmos Energy,Utilities,Utilities - Regulated Gas
AVB,AvalonBay Communities,Real Estate,REIT - Residential
AVGO,Broadcom,Technology,Semiconductors
AVY,Avery Dennison,Consumer Cyclical,Packaging & Containers
AWK,American Water Works,Utilities,Utilities - Regulated Water
AXON,Axon Enterprise,Industrials,Aerospace & Defense
AXP,American Express,Financial Services,Credit Services
AZO,AutoZone,Consumer Cyclical,Auto Parts
BA,Boeing,Industrials,Aerospace & Defense
BAC,Bank of America,Financial Services,Banks - Diversified
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers
BAX,Baxter International,Healthcare,Medical Instruments & Supplies
BBY,Best Buy,Consumer Cyclical,Specialty Retail
BDX,Becton Dickinson,Healthcare,Medical Instruments & Supplies
BEN,Franklin Resources,Financial Services,Asset Management
BG,Bunge Global,Consumer Defensive,Farm Products
BIIB,Biogen,Healthcare,Drug Manufacturers - General
BK,BNY Mellon,Financial Services,Banks - Diversified
BKNG,Booking Holdings,Consumer Cyclical,Travel Services
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
BLDR,Builders FirstSource,Industrials,Building Products & Equipment
BLK,BlackRock,Financial Services,Asset Management
BMY,Bristol Myers Squibb,Healthcare,Drug Manufacturers - General
BR,Broadridge Financial Solutions,Technology,Information Technology Services
BRO,Brown & Brown,Financial Services,Insurance Brokers
BSX,Boston Scientific,Healthcare,Medical Devices
BX,Blackstone Inc.,Financial Services,Asset Management
BXP,"BXP, Inc.",Real Estate,REIT - Office
C,Citigroup,Financial Services,Banks - Diversified
CAG,Conagra Brands,Consumer Defensive,Packaged Foods
CAH,Cardinal Health,Healthcare,Medical Distribution
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty
CBOE,Cboe Global Markets,Financial Services,Financial Data & Stock Exchanges
CBRE,CBRE Group,Real Estate,Real Estate Services
CCI,Crown Castle,Real Estate,REIT - Specialty
CCL,Carnival,Consumer Cyclical,Travel Services
CDNS,Cadence Design Systems,Technology,Software - Application
CDW,CDW Corporation,Technology,Information Technology Services
CF,CF Industries,Basic Materials,Agricultural Inputs
CFG,Citizens Financial Group,Financial Services,Banks - Regional
CHD,Church & Dwight,Consumer Defensive,Household & Personal Products
CHRW,C.H. Robinson,Industrials,Integrated Freight & Logistics
CHTR,Charter Communications,Communication Services,Telecom Services
CI,Cigna,Healthcare,Healthcare Plans
CINF,Cincinnati Financial,Financial Services,Insurance - Property & Casualty
CL,Colgate-Palmolive,Consumer Defensive,Household & Personal Products
CLX,Clorox,Consumer Defensive,Household & Personal Products
CMCSA,Comcast,Communication Services,Telecom Services
CME,CME Group,Financial Services,Financial Data & Stock Exchanges
CMG,Chipotle Mexican Grill,Consumer Cyclical,Restaurants
CMI,Cummins,Industrials,Specialty Industrial Machinery
CMS,CMS Energy,Utilities,Utilities - Regulated Electric
CNC,Centene Corporation,Healthcare,Healthcare Plans
CNP,CenterPoint Energy,Utilities,Utilities - Regulated Electric
COF,Capital One,Financial Services,Credit Services
